# t (s)	mx ()	my ()	mz ()
1.85715398930223e-09	0.000860772	-0.0020439562	0.7116424
1.880971567107891e-09	-0.002208351	7.129983e-05	0.7117399
1.9047685262782705e-09	0.0009836302	0.0019830852	0.71165276
1.928575210070656e-09	0.0013983713	-0.0017080376	0.7114487
1.952398299373521e-09	-0.0021456853	-0.0005592227	0.71128666
1.9761929980646684e-09	0.00036949516	0.002186633	0.7112932
2.0000009783290934e-09	0.0018370225	-0.0012489954	0.71146315
2.023828103545758e-09	-0.0019095095	-0.0011592101	0.7116639
2.0476393499046397e-09	-0.00024902407	0.002218087	0.71173906
2.0714354601108687e-09	0.0021337497	-0.00070018123	0.7116302
2.0952530453073208e-09	-0.0015289837	-0.0016459737	0.71142197
2.1190526490818726e-09	-0.00085724593	0.002088246	0.7112769
2.1428629467001436e-09	0.0022557576	-8.499451e-05	0.7113079
2.166670116377822e-09	-0.0010312087	-0.0020154088	0.7114907
2.190490323920529e-09	-0.0014005556	0.0017820789	0.71168303
2.2142885077123766e-09	0.0022015795	0.0005172552	0.71173495
2.2381047404549303e-09	-0.00045596945	-0.0022232498	0.71160597
2.2619177389269634e-09	-0.0018165682	0.0013427081	0.7113966
2.285722881522094e-09	0.0019819185	0.0010904125	0.71127
2.309542059780091e-09	0.00016622407	-0.0022477761	0.7113248
2.333347455408074e-09	-0.0021065008	0.0007947559	0.71151847
2.3571455781676217e-09	0.0015898473	0.0015836317	0.7116995
2.380962145953559e-09	0.0007633997	-0.0021039099	0.7117273
2.4047715806792416e-09	-0.0022306228	0.0001813244	0.71158
2.4285872369754963e-09	0.0010890063	0.0019399959	0.71137226
2.4523962896585785e-09	0.0013182393	-0.0017994128	0.7112661
2.4761908374107546e-09	-0.0021731292	-0.00045563155	0.7113441
2.5000089367703277e-09	0.00049370294	0.0021663501	0.71154565
2.5238295627166754e-09	0.0017673125	-0.0013440377	0.71171343
2.547633365943258e-09	-0.0019632273	-0.001039819	0.7117168
2.5714365689613794e-09	-0.0001373447	0.002220633	0.7115533
2.5952437246161106e-09	0.002074735	-0.00079928926	0.71135
2.619048411309293e-09	-0.001595191	-0.0015655154	0.7112655
2.642866855235764e-09	-0.00075848505	0.002096165	0.7113659
2.6666842081041646e-09	0.0022333064	-0.00018854083	0.71157265
2.6904971930927765e-09	-0.0011025879	-0.001952774	0.7117246
2.7142897188041087e-09	-0.0013100482	0.0018261527	0.71170354
2.738101255798257e-09	0.002210543	0.00043533917	0.71152586
2.761908586819933e-09	-0.0005355554	-0.0021889303	0.7113299
2.7857300627304148e-09	-0.0017716967	0.0014037101	0.7112683
2.80952748465456e-09	0.0020087697	0.001021667	0.71138936
2.8333364638889814e-09	8.430559e-05	-0.0022618147	0.7115985
2.857154564239789e-09	-0.0020813036	0.000868633	0.7117328
2.88097094428824e-09	0.0016686921	0.0015213675	0.7116875
2.9047621068539363e-09	0.0006920906	-0.0021468443	0.711498
2.9285885523733157e-09	-0.002232175	0.0002788698	0.71131176
2.952390484505923e-09	0.001176214	0.0019175231	0.71127415
2.976206369284884e-09	0.0012428424	-0.0018634504	0.7114144
3.0000067958959625e-09	-0.0022150988	-0.00035377173	0.711623
